meteorite_id,name,mass_g,severity_score
5040,bhola,1047.0,3.0
5041,bholghati,2500.0,3.0
5042,bialystok,4000.0,3.0
5043,bielokrynitschie,1900.0,3.0
5045,bilanga,25000.0,4.0
5051,binningup,488.1,2.0
5056,birni n'konni,560.0,2.0
5059,bishopville,6000.0,3.0
5060,bishunpur,1039.0,3.0
5063,bjelaja zerkov,1850.0,3.0
5064,bjurböle,330000.0,5.0
5065,black moshannan park,705.0,2.0
5068,blackwell,2381.0,3.0
5071,blanket,5100.0,3.0
5072,blansko,470.0,2.0
5076,bloomington,67.8,1.0
5090,bo xian,7500.0,3.0
5093,bocas,56.0,1.0
5097,bogou,8800.0,3.0
5098,boguslavka,256000.0,5.0
5110,borgo san donino,1676.0,3.0
5111,bori,8600.0,3.0
5112,boriskino,1342.0,3.0
5113,borkut,7000.0,3.0
5114,borodino,500.0,2.0
5117,botschetschki,614.0,2.0
57168,boumdeid (2003),190.0,2.0
57167,boumdeid (2011),3599.0,3.0
5121,bovedy,5460.0,3.0
5128,bradford woods,762.0,2.0
5133,braunau,39000.0,4.0
5134,breitscheid,1500.0,3.0
5135,bremervörde,7250.0,3.0
5140,brient,219.0,2.0
5156,bruderheim,303000.0,5.0
30448,bukhara,5300.0,3.0
5163,bulls run,2250.0,3.0
48653,bunburra rockhole,324.0,2.0
5165,bununu,357.0,2.0
5169,bur-gheluai,120000.0,5.0
5175,burnwell,1504.0,3.0
5177,bursa,25000.0,4.0
5178,buschhof,5000.0,3.0
5181,bustee,1500.0,3.0
5183,butsura,29000.0,4.0
48654,buzzard coulee,41000.0,4.0
5185,cabezo de mayo,25000.0,4.0
5186,cabin creek,48500.0,4.0
5187,cacak,212.0,2.0
45976,cali,478.0,2.0
5200,calivo,2400.0,3.0
5249,campos sales,23680.0,4.0
5250,çanakkale,4000.0,3.0
5251,cañellas,945.0,2.0
5252,cangas de onis,34000.0,4.0
5253,canon city,1400.0,3.0
5260,cape girardeau,2300.0,3.0
5264,capilla del monte,750.0,2.0
45817,carancas,342.0,2.0
5265,caratash,8.0,1.0
5291,castalia,7300.0,3.0
5292,castel berardenga,,
5293,castine,94.0,1.0
5295,castrovillari,15000.0,4.0
5296,caswell county,1360.0,3.0
5306,ceniceros,1025.0,3.0
5307,centerville,45.6,1.0
5308,cereseto,6460.0,3.0
5313,chadong,3700.0,3.0
5314,chail,0.5,1.0
5315,chainpur,8200.0,3.0
5316,chajari,18300.0,4.0
5320,chandakapur,8800.0,3.0
5321,chandpur,1100.0,3.0
5322,changde,1810.0,3.0
5325,chantonnay,31500.0,4.0
5328,charlotte,4300.0,3.0
5329,charsonville,27000.0,4.0
5330,charwallas,12000.0,4.0
5331,chassigny,4000.0,3.0
5332,château-renard,30000.0,4.0
5334,chaves,2945.0,3.0
5338,chela,2936.0,3.0
57165,chelyabinsk,100000.0,4.0
47347,chergach,100000.0,4.0
5339,chernyi bor,6000.0,3.0
5340,cherokee springs,8400.0,3.0
5341,chervettaz,705.0,2.0
5342,chervony kut,1700.0,3.0
5344,chetrinahatti,72.0,1.0
5345,chiang khan,367.0,2.0
5349,chicora,303.0,2.0
5355,chisenga,3920.0,3.0
5356,chitado,,
5357,chitenay,4000.0,3.0
5364,cilimus,1600.0,3.0
5374,claxton,1455.0,3.0
5383,clohars,48.6,1.0
5395,colby (wisconsin),104000.0,5.0
5397,cold bokkeveld,5200.0,3.0
5401,coleman,469.0,2.0
5403,collescipoli,5000.0,3.0
5418,conquista,20350.0,4.0
5451,cosina,1200.0,3.0
5465,cranganore,1460.0,3.0
5470,crescent,78.4,1.0
5474,cronstad,3650.0,3.0
5476,cross roads,167.0,2.0
5477,crumlin,4255.0,3.0
5496,cumberland falls,17000.0,4.0
5500,cynthiana,6000.0,3.0
5504,dahmani,18000.0,4.0
5511,dandapur,5650.0,3.0
5513,daniel's kuil,1064.0,3.0
5514,danville,2000.0,3.0
6603,darmstadt,100.0,1.0
6604,dashoguz,7000.0,3.0
51559,daule,6580.0,3.0
6621,de cewsville,340.0,2.0
6634,deal,28.0,1.0
6642,delhi,0.8,1.0
6649,demina,16400.0,4.0
6660,denver,230.0,2.0
6664,dergaon,12500.0,4.0
6693,desuri,25400.0,4.0
6694,devgaon,12000.0,4.0
6696,devri-khera,1140.0,3.0
6698,dhajala,45000.0,4.0
6699,dharwar,1800.0,3.0
7640,dhurmsala,32000.0,4.0
47350,didim,3396.0,3.0
7642,diep river,1000.0,2.0
7649,distrito quebracho,400.0,2.0
7652,djati-pengilon,166000.0,5.0
7656,djermaia,3950.0,3.0
7657,djoumine,10000.0,3.0
7658,dokachi,3840.0,3.0
7659,dolgovoli,1600.0,3.0
7661,domanitch,438.0,2.0
7706,dong ujimqin qi,128800.0,5.0
7707,donga kohrod,230.0,2.0
7708,dongtai,5500.0,3.0
7718,doroninsk,3891.0,3.0
7722,dosso,1250.0,3.0
7723,douar mghila,1161.0,3.0
7725,dowa,642.0,2.0
7728,drake creek,5000.0,3.0
7731,dresden (ontario),47700.0,4.0
7736,dubrovnik,1900.0,3.0
7743,dunbogan,30.0,1.0
7745,dundrum,2270.0,3.0
7749,dunhua,,
7750,durala,13200.0,4.0
7752,duruma,577.0,2.0
7754,duwun,2117.0,3.0
7755,dwaleni,3230.0,3.0
7757,dyalpur,300.0,2.0
7758,dyarrl island,188.0,2.0
7760,eagle,10000.0,3.0
7774,ehole,2400.0,3.0
7775,eichstädt,3000.0,3.0
7776,ekeby,3336.0,3.0
7777,ekh khera,840.0,2.0
7807,el idrissia,10000.0,3.0
45977,el paso de aguila,17226.0,4.0
7819,el tigre,5000.0,3.0
7822,elbert,680.5,2.0
7823,elbogen,107000.0,5.0
7824,elenovka,54640.0,4.0
10019,ellemeet,1470.0,3.0
10033,emmaville,127.0,2.0
10038,enshi,8000.0,3.0
10039,ensisheim,127000.0,5.0
10041,épinal,277.0,2.0
10042,erakot,113.0,2.0
10043,erevan,107.2,2.0
10044,ergheo,20000.0,4.0
10049,erxleben,2250.0,3.0
10051,esnandes,1500.0,3.0
10055,essebi,500.0,2.0
10059,estherville,320000.0,5.0
10074,farmington,89400.0,4.0
10075,farmville,56000.0,4.0
10078,favars,1500.0,3.0
10079,fayetteville,2360.0,3.0
10080,feid chair,380.0,2.0
10081,felix,3200.0,3.0
10086,fenghsien-ku,82.0,1.0
10088,ferguson,220.0,2.0
10091,fermo,10200.0,4.0
10107,fisher,17600.0,4.0
10111,florence,3640.0,3.0
10119,forest city,152000.0,5.0
10120,forest vale,26000.0,4.0
10123,forksville,6067.0,3.0
10163,forsbach,240.0,2.0
10164,forsyth,16300.0,4.0
10166,fort flatters,,
10177,frankfort (stone),650.0,2.0
52412,fuhe,23000.0,4.0
10836,fukutomi,11620.0,4.0
10838,fünen,,
10839,futtehpur,4000.0,3.0
10840,fuyang,2500.0,3.0
10846,galapian,132.7,2.0
10848,galim (a),36.1,1.0
10849,galim (b),28.0,1.0
10850,galkiv,5000.0,3.0
10851,gambat,6400.0,3.0
10854,gao-guenie,,
10860,garhi yasin,380.0,2.0
10861,garland,102.0,2.0
44882,gashua,4162.0,3.0
10866,gasseltepaoua,,
10870,geidam,725.0,2.0
10914,gifu,14290.0,4.0
10917,girgenti,18000.0,4.0
10919,git-git,480.0,2.0
10923,glanerbrug,670.0,2.0
10924,glanggang,1303.0,3.0
10926,glasatovo,152000.0,5.0
10930,glatton,767.0,2.0
10936,gnadenfrei,1750.0,3.0
10948,gopalpur,1600.0,3.0
10949,gorlovka,3618.0,3.0
10956,granes,9000.0,3.0
11196,grefsheim,45.5,1.0
50911,grimsby,215.0,2.0
11206,grosnaja,3500.0,3.0
11207,gross-divina,10500.0,4.0
11208,grossliebenthal,8000.0,3.0
11426,grüneberg,1000.0,2.0
11429,grzempach,690.0,2.0
11432,gualeguaychú,22000.0,4.0
11435,guangmingshan,2910.0,3.0
11436,guangnan,,
11437,guangrao,1900.0,3.0
11439,guareña,39000.0,4.0
11440,guêa,1915.0,3.0
11442,guibga,288.0,2.0
11443,guidder,968.0,2.0
11448,gujargaon,2449.0,3.0
11449,gujba,100000.0,4.0
11450,gumoschnik,5700.0,3.0
11464,gurram konda,28.0,1.0
11465,gursum,34650.0,4.0
11466,gütersloh,1000.0,2.0
11467,gyokukei,1320.0,3.0
11468,hachi-oji,0.2,1.0
11472,hainaut,9000.0,3.0
11479,hallingeberg,1456.0,3.0
11485,hamlet,3710.0,3.0
11824,haraiya,1000.0,2.0
11829,haripura,315.0,2.0
11830,harleton,8360.0,3.0
11842,harrison county,680.0,2.0
11848,hashima,1110.6,3.0
11852,hassi-jekna,1250.0,3.0
11855,hatford,29000.0,4.0
11859,haverö,1544.0,3.0
11869,hedeskoga,3500.0,3.0
11870,hedjaz,6100.0,3.0
11875,heredia,1000.0,2.0
11878,hessle,20000.0,4.0
11883,higashi-koen,750.0,2.0
11884,high possil,4500.0,3.0
11889,hiroshima,414.0,2.0
44714,hoima,167.7,2.0
11893,hökmark,305.5,2.0
11894,holbrook,220000.0,5.0
11895,holetta,1415.0,3.0
11901,homestead,230000.0,5.0
11904,honolulu,2420.0,3.0
11913,hotse,180.0,2.0
11915,hoxie,266.1,2.0
11916,hraschina,49000.0,4.0
54719,huaxi,1600.0,3.0
11986,hungen,112.0,2.0
11989,hvittis,14000.0,4.0
11992,ibbenbüren,2000.0,3.0
11993,ibitira,2500.0,3.0
11994,ibrisim,,
11995,ichkala,3973.0,3.0
12000,idutywa,3457.0,3.0
12003,iguaracu,1200.0,3.0
12004,ijopega,7330.0,3.0
12027,indarch,27000.0,4.0
12028,independence,880.0,2.0
12037,inner mongolia,3000.0,3.0
12039,innisfree,4576.0,3.0
12043,ipiranga,7000.0,3.0
12049,ishinga,1300.0,3.0
12053,isthilart,3050.0,3.0
12056,itapicuru-mirim,2024.0,3.0
12058,itqiy,4720.0,3.0
12063,ivuna,704.5,2.0
12065,jackalsfontein,48000.0,4.0
12067,jajh deh kot lalu,973.0,2.0
12068,jalanash,700.0,2.0
12069,jalandhar,1967.0,3.0
12072,jamkheir,22.0,1.0
12074,jartai,20500.0,4.0
12078,jelica,34000.0,4.0
12079,jemlapur,450.0,2.0
51589,jesenice,3667.0,3.0
12085,jhung,5900.0,3.0
12086,jiange,222.0,2.0
12087,jianshi,600000.0,5.0
12171,jilin,4000000.0,5.0
47362,jodiya,100.0,1.0
12173,jodzie,30.0,1.0
12198,johnstown,40300.0,4.0
12199,jolomba,483.0,2.0
12202,jonzac,5000.0,3.0
12203,juancheng,100000.0,4.0
12207,judesegeri,680.0,2.0
12209,jumapalo,32490.0,4.0
12210,junan,950.0,2.0
12213,juromenha,25250.0,4.0
12214,juvinas,91000.0,4.0
12218,kaba,3000.0,3.0
12220,kabo,13400.0,4.0
12221,kadonah,89.0,1.0
12222,kaee,230.0,2.0
12227,kagarlyk,1900.0,3.0
12228,kaidun,2000.0,3.0
12229,kainsaz,200000.0,5.0
12230,kakangari,350.0,2.0
12231,kakowa,577.0,2.0
12232,kalaba,950.0,2.0
12236,kalumbi,4500.0,3.0
12238,kamalpur,2770.0,3.0
12240,kamiomi,448.0,2.0
12241,kamsagar,1293.0,3.0
12243,kandahar (afghanistan),299.0,2.0
12245,kangean,1630.0,3.0
12246,kangra valley,400.0,2.0
12251,kapoeta,11355.0,4.0
47357,kaprada,1600.0,3.0
12253,kaptal-aryk,3500.0,3.0
12256,karakol,3000.0,3.0
12258,karatu,2220.0,3.0
12260,karewar,180.0,2.0
12262,karkh,22000.0,4.0
12263,karloowala,2950.0,3.0
12264,karoonda,41730.0,4.0
12266,kasamatsu,710.0,2.0
30740,kasauli,16820.0,4.0
35465,katagum,1500.0,3.0
47351,kavarpura,6800.0,3.0
12268,kayakent,85000.0,4.0
12270,kediri,3300.0,3.0
53654,kemer,5760.0,3.0
12275,kendleton,6937.0,3.0
12276,kendrapara,6669.2,3.0
12282,kerilis,5000.0,3.0
12284,kernouve,80000.0,4.0
12286,kesen,135000.0,5.0
12288,khairpur,13600.0,4.0
12289,khanpur,3698.0,3.0
12291,kharkov,1500.0,3.0
12294,kheragur,450.0,2.0
12296,khetri,100.0,1.0
12297,khmelevka,6109.0,3.0
12298,khohar,9700.0,3.0
12299,khor temiki,3200.0,3.0
12300,kidairat,100000.0,4.0
12301,kiel,737.6,2.0
12303,kiffa,1500.0,3.0
12305,kijima (1906),331.0,2.0
12306,kikino,195.0,2.0
12307,kilabo,19000.0,4.0
12308,kilbourn,772.0,2.0
12309,killeter,140.0,2.0
12316,kingai,67.4,1.0
12321,kirbyville,97.7,1.0
12325,kisvarsány,1550.0,3.0
12326,kitchener,202.6,2.0
12332,klein-wenden,3250.0,3.0
12335,knyahinya,500000.0,5.0
12336,kobe,136.0,2.0
12342,kokubunji,11510.0,4.0
12343,komagome,238.0,2.0
12344,konovo,90.0,1.0
53810,košice,4300.0,3.0
12353,krähenberg,16500.0,4.0
12355,krasnoi-ugol,2440.0,3.0
12357,krasnyi klyuch,4000.0,3.0
12363,krutikha,845.2,2.0
12364,krymka,50000.0,4.0
12368,kukschin,2250.0,3.0
12369,kulak,453.6,2.0
12370,kuleschovka,6000.0,3.0
12373,kulp,3719.0,3.0
12377,kunashak,200000.0,5.0
12379,kunya-urgench,1100000.0,5.0
12381,kushiike,4460.0,3.0
12382,kusiali,5.0,1.0
12383,kutais,23.0,1.0
12384,kuttippuram,45000.0,4.0
12385,kuznetzovo,4047.0,3.0
12390,kyushu,45000.0,4.0
12392,la bécasse,2800.0,3.0
12394,la charca,399.0,2.0
12395,la colina,2000.0,3.0
12396,la criolla,45000.0,4.0
12408,laborel,3833.0,3.0
12433,lahrauli,900.0,2.0
12434,l'aigle,37000.0,4.0
32531,cumulus hills 04075,9.6,1.0
12435,lakangaon,212.5,2.0
12451,lalitpur,372.0,2.0
12455,lancé,51700.0,4.0
12456,lancon,7000.0,3.0
12461,långhalsen,2300.0,3.0
12464,lanxi,1282.0,3.0
12465,lanzenkirchen,7000.0,3.0
12466,laochenzhen,14250.0,4.0
12740,launton,1060.0,3.0
12743,lavrentievka,800.0,2.0
12748,le pressoir,3000.0,3.0
12749,le teilleul,780.0,2.0
12755,leedey,51500.0,4.0
12756,leeuwfontein,460.0,2.0
12759,leighlinbridge,271.4,2.0
12760,leighton,877.0,2.0
12765,leonovka,700.0,2.0
12769,les ormes,125.0,2.0
12772,lesves,2000.0,3.0
14646,lichtenberg,4000.0,3.0
14650,lillaverke,6862.0,3.0
14652,limerick,50000.0,4.0
14655,linum,1862.0,3.0
14659,lishui,498.0,2.0
14661,lissa,12800.0,4.0
14664,little piney,491.0,2.0
14670,lixna,5213.0,3.0
14675,lodran,1000.0,2.0
14678,lohawat,40000.0,4.0
52843,lorton,329.7,2.0
14708,los martinez,25.0,1.0
14711,lost city,17000.0,4.0
14716,louisville,1300.0,3.0
14718,łowicz,59000.0,4.0
14721,lua,9241.0,3.0
14724,lucé,3500.0,3.0
14753,lumpkin,340.0,2.0
14754,lunan,2520.0,3.0
14755,lundsgård,11000.0,4.0
14756,luotolax,885.0,2.0
14757,luponnas,14000.0,4.0
14759,lusaka,,
14764,mabwe-khoywa,540.0,2.0
15370,macau,1500.0,3.0
15371,machinga,93200.0,4.0
15372,macibini,1995.0,3.0
15379,madhipura,1000.0,2.0
15380,madiun,400.0,2.0
15382,madrid,400.0,2.0
15383,mafra,600.0,2.0
15386,magnesia,5000.0,3.0
15387,magombedze,666.6,2.0
47361,mahadevpur,70500.0,4.0
30751,maigatari-danduma,4629.0,3.0
15393,malaga,150.0,2.0
15394,malakal,2000.0,3.0
15395,malampaka,470.0,2.0
15397,malotas,,
15400,malvern,807.0,2.0
15401,mamra springs,1000.0,2.0
15402,manbhoom,1700.0,3.0
15403,manegaon,50.0,1.0
15405,mangwendi,22300.0,4.0
15409,manych,3555.0,3.0
15414,mardan,4500.0,3.0
15418,maria linden,114.0,2.0
15419,mariaville,340.0,2.0
48973,maribo,25.81,1.0
15421,maridi,3200.0,3.0
15422,marilia,2500.0,3.0
15424,marion (iowa),28400.0,4.0
15426,marjalahti,45000.0,4.0
15429,marmande,3000.0,3.0
15430,maromandia,6000.0,3.0
15436,maryville,1443.0,3.0
15438,mascombes,1000.0,2.0
53653,mason gully,24.54,1.0
15443,mässing,1600.0,3.0
15446,mauerkirchen,19000.0,4.0
15447,mauritius,220.0,2.0
15451,mayo belwa,4850.0,3.0
15453,mazapil,4000.0,3.0
15454,maziba,4975.0,3.0
15455,mbale,150000.0,5.0
15467,medanitos,31.0,1.0
15469,meerut,22.0,1.0
15470,meester-cornelis,24750.0,4.0
15485,menow,10500.0,4.0
15486,menziswyl,28.9,1.0
15489,mern,4000.0,3.0
15491,meru,6000.0,3.0
15492,merua,71400.0,4.0
15495,messina,2405.0,3.0
16626,meuselbach,870.0,2.0
16627,mezel,1300.0,3.0
16628,mezö-madaras,22700.0,4.0
16629,mhow,350.0,2.0
16631,mianchi,1100.0,3.0
16632,middlesbrough,1600.0,3.0
52090,mifflin,3584.0,3.0
16634,mighei,8000.0,3.0
16635,mihonoseki,6380.0,3.0
16636,mike,224.2,2.0
16640,milena,10000.0,3.0
16643,millbillillie,330000.0,5.0
16645,miller (arkansas),16700.0,4.0
16692,minamino,1040.0,3.0
16696,mineo,42.0,1.0
16697,min-fan-zhun,5500.0,3.0
16700,minnichhof,550.0,2.0
16701,mirzapur,8510.0,3.0
16703,misshof,5800.0,3.0
16707,mjelleim,100.7,2.0
16709,mocs,300000.0,5.0
16711,modoc (1905),35000.0,4.0
16713,mokoia,4500.0,3.0
16715,molina,144000.0,5.0
16717,molteno,150.0,2.0
16719,monahans (1998),2587.0,3.0
16720,monroe,8600.0,3.0
16725,monte das fortes,4885.0,3.0
16726,monte milone,3130.0,3.0
16727,montferré,149000.0,5.0
16729,montlivault,500.0,2.0
16733,monze,,
16736,moore county,1880.0,3.0
16737,mooresfort,3520.0,3.0
16738,moorleah,8887.5,3.0
16740,moradabad,70.0,1.0
16742,morávka,633.0,2.0
16747,mornans,1300.0,3.0
36592,moss,3763.0,3.0
16759,moti-ka-nagla,1500.0,3.0
16762,motta di conti,9150.0,3.0
16766,mount browne,11300.0,4.0
16804,mount tazerzait,110000.0,5.0
16805,mount vaisi,17000.0,4.0
16820,mtola,1100.0,3.0
16841,muddoor,4400.0,3.0
16851,mulletiwu,25.5,1.0
16874,muraid,4703.0,3.0
16875,murchison,100000.0,4.0
16882,murray,12600.0,4.0
16885,muzaffarpur,1245.0,3.0
16887,myhee caunta,,
16889,nadiabondi,8165.0,3.0
16890,nagai,1810.0,3.0
16892,nagaria,20.0,1.0
16893,nagy-borové,6100.0,3.0
16898,nakhla,10000.0,3.0
16899,nakhon pathom,23200.0,4.0
16902,nammianthal,4500.0,3.0
16903,nan yang pao,52900.0,4.0
16904,nanjemoy,7500.0,3.0
16907,nantong,529.0,2.0
16908,naoki,17000.0,4.0
16909,naragh,2700.0,3.0
16912,narellan,367.5,2.0
16914,narni,,
16922,nassirah,347.0,2.0
16923,natal,1.4,1.0
16927,nawapali,105.0,2.0
16934,neagari,420.0,2.0
16935,nedagolla,4500.0,3.0
16941,nejo,2450.0,3.0
16945,nerft,10250.0,4.0
16950,neuschwanstein,6189.0,3.0
16953,new concord,230000.0,5.0
16954,new halfa,12000.0,4.0
16960,new orleans,19256.0,4.0
16966,ngawi,1393.0,3.0
16968,n'goureyma,37500.0,4.0
16970,nicorps,,
16974,niger (l6),3.3,1.0
16975,niger (ll6),3.3,1.0
16976,nikolaevka,3996.0,3.0
16977,nikolskoe,6000.0,3.0
16980,ningbo,14250.0,4.0
16981,ningqiang,4610.0,3.0
16982,nio,467.0,2.0
16983,n'kandhla,17200.0,4.0
16984,nobleborough,2300.0,3.0
16985,noblesville,483.7,2.0
16988,nogata,472.0,2.0
16989,nogoya,4000.0,3.0
16994,norfork,1050.0,3.0
17922,norton county,1100000.0,5.0
17930,noventa vicentina,177.0,2.0
17933,novo-urei,1900.0,3.0
17934,novy-ergi,,
17935,novy-projekt,1001.0,3.0
17936,noyan-bogdo,250.0,2.0
17938,nuevo mercurio,50000.0,4.0
17959,nulles,5000.0,3.0
17960,numakai,363.0,2.0
17969,nyaung,737.6,2.0
17970,nyirábrany,1100.0,3.0
17979,ochansk,500000.0,5.0
17988,oesede,1400.0,3.0
17989,oesel,6000.0,3.0
17990,ofehértó,3750.0,3.0
17994,ogi,14360.0,4.0
17995,ohaba,16250.0,4.0
17996,ohuma,7700.0,3.0
17997,ojuelos altos,5850.0,3.0
17998,okabe,194.0,2.0
18000,okano,4742.0,3.0
18002,okniny,12000.0,4.0
18009,oldenburg (1930),16570.0,4.0
18012,oliva-gandia,,
18013,olivenza,150000.0,5.0
18015,olmedilla de alarcón,40000.0,4.0
18019,omolon,250000.0,5.0
18026,orgueil,14000.0,4.0
34489,orlando,180.0,2.0
18030,ornans,6000.0,3.0
18033,ortenau,4500.0,3.0
18034,orvinio,3400.0,3.0
18042,oterøy,246.0,2.0
18045,otomi,6510.0,3.0
18046,ottawa,840.0,2.0
56729,ouadangou,4440.0,3.0
18050,oued el hadjar,1215.5,3.0
31282,oum dreyga,17000.0,4.0
18052,ourique,20000.0,4.0
18055,ovambo,121.5,2.0
18058,oviedo,205.0,2.0
18062,owrucz,,
18068,pacula,3400.0,3.0
18069,padvarninkai,3858.0,3.0
18072,paitan,515.0,2.0
18073,palahatchie,,
18074,palca de aparzo,1430.0,3.0
18077,palinshih,18000.0,4.0
18079,palmyra,135.0,2.0
18082,palolo valley,682.0,2.0
32591,dominion range 03239,69.5,1.0
18093,pampanga,10500.0,4.0
18098,pantar,2130.0,3.0
18101,paragould,408000.0,5.0
18102,parambu,2000.0,3.0
18103,paranaiba,100000.0,4.0
18106,park forest,18000.0,4.0
18108,parnallee,77600.0,4.0
18109,parsa,800.0,2.0
18110,pasamonte,5100.0,3.0
18112,patora,4375.0,3.0
18116,patrimonio,2121.0,3.0
18118,patti,12.0,1.0
18171,patwar,37350.0,4.0
18173,pavel,2968.0,3.0
18175,pavlodar (stone),142.5,2.0
18176,pavlograd,40000.0,4.0
18177,pavlovka,2000.0,3.0
18179,pê,,
18180,peace river,45760.0,4.0
18181,peckelsheim,117.8,2.0
18782,peekskill,12570.0,4.0
18786,peña blanca spring,70000.0,4.0
18792,peramiho,165.0,2.0
18793,perpeti,23474.0,4.0
18797,perth,2.0,1.0
18798,pervomaisky,66000.0,4.0
18799,pesyanoe,3393.0,3.0
18800,pétèlkolé,189.0,2.0
18801,petersburg,1800.0,3.0
18804,pettiswood,,
18808,phillips county (stone),57900.0,4.0
18809,phu hong,500.0,2.0
18811,phum sambo,7800.0,3.0
18812,phuoc-binh,11000.0,4.0
18813,piancaldoli,13.1,1.0
18816,picote,,
18822,pillistfer,23250.0,4.0
18831,piplia kalan,42000.0,4.0
18832,piquetberg,37.0,1.0
18834,pirgunje,842.0,2.0
18835,pirthalla,1161.0,3.0
18837,pitts,3760.0,3.0
18846,plantersville,2085.0,3.0
51706,pleşcoi,6913.0,3.0
18849,ploschkovitz,39.0,1.0
18851,pnompehn,96.0,1.0
32592,dominion range 03240,290.9,2.0
18853,pohlitz,3000.0,3.0
18858,pokhra,350.0,2.0
18860,pollen,253.6,2.0
18865,pontlyfni,157.0,2.0
18874,portales valley,71400.0,4.0
18876,portugal,4500.0,3.0
18879,po-wang chen,665.0,2.0
18883,prambachkirchen,2125.0,3.0
18887,pribram,5555.0,3.0
18888,pricetown,900.0,2.0
45984,puerto lápice,500.0,2.0
18899,pulsora,560.0,2.0
18901,pultusk,250000.0,5.0
18902,punganaru,100.0,1.0
18905,putinga,300000.0,5.0
18907,qidong,1275.0,3.0
18908,qingzhen,2600.0,3.0
22357,queen's mercy,7000.0,3.0
22358,quenggouk,6045.0,3.0
22360,quesa,10750.0,4.0
22361,quija,17450.0,4.0
22363,quincay,65.0,1.0
22368,raco,5000.0,3.0
22371,raghunathpura,10200.0,4.0
31302,rahimyar khan,67225.0,4.0
22376,rakovka,9000.0,3.0
22384,ramnagar,3766.0,3.0
22385,rampurhat,100.0,1.0
22386,ramsdorf,4682.0,3.0
22387,ranchapur,290.4,2.0
