latitude,longitude,hemisphere_ns,hemisphere_ew,location_quality,location_key
38.25,-83.75,north,west,valid,86
40.66813,-117.18913,north,west,valid,87
11.08333,-0.18333,north,west,valid,88
36.75,-93.5,north,west,valid,89
39.8,-101.2,north,west,valid,90
51.16667,-117.33333,north,west,valid,91
53.01667,-4.1,north,west,valid,92
33.6,-96.46667,north,west,valid,93
-32.33333,-64.86667,south,west,valid,94
25.36667,82.91667,north,east,valid,95
32.25,-8.15,north,west,valid,96
32.86667,10.8,north,east,valid,97
39.08333,-89.15,north,west,valid,98
-26.16667,28.41667,south,east,valid,99
30.0,-7.0,north,west,valid,100
45.95,-67.55,north,west,valid,101
-31.91,-58.32833,south,west,valid,102
11.65,-3.65,north,west,valid,103
41.68333,-3.8,north,west,valid,104
40.30583,-105.02325,north,west,valid,105
42.53333,-73.83333,north,west,valid,106
43.21667,-0.23333,north,west,valid,107
33.88333,35.5,north,east,valid,108
20.88333,74.83333,north,east,valid,109
26.50833,73.11528,north,east,valid,110
20.83333,71.46667,north,east,valid,111
22.68333,90.65,north,east,valid,112
22.08333,86.9,north,east,valid,113
53.1,23.2,north,east,valid,114
50.13333,27.16667,north,east,valid,115
12.45,-0.08333,north,west,valid,116
-33.15639,115.67639,south,east,valid,117
13.76667,5.3,north,east,valid,118
34.16667,-80.28333,north,west,valid,119
25.38333,82.6,north,east,valid,120
49.78333,30.16667,north,east,valid,121
60.4,25.8,north,east,valid,122
40.91667,-78.08333,north,west,valid,123
36.83333,-97.33333,north,west,valid,124
31.83333,-98.83333,north,west,valid,125
49.36667,16.63333,north,east,valid,126
40.48,-89.00417,north,west,valid,127
33.83333,115.83333,north,east,valid,128
23.0,-102.0,north,west,valid,129
12.5,0.7,north,east,valid,130
44.55,131.63333,north,east,valid,131
44.86667,10.05,north,east,valid,132
21.95,78.03333,north,east,valid,133
54.23333,52.48333,north,east,valid,134
48.15,24.28333,north,east,valid,135
55.46667,35.86667,north,east,valid,136
51.33333,33.88333,north,east,valid,137
17.71067,-11.3715,north,west,valid,138
17.17493,-11.34133,north,west,valid,139
54.56667,-6.33333,north,west,valid,140
40.5,-80.08333,north,west,valid,141
50.6,16.3,north,east,valid,142
50.66694,8.18361,north,east,valid,143
53.4,9.1,north,east,valid,144
52.13333,59.31667,north,east,valid,145
53.9,-112.88333,north,west,valid,146
39.77978,64.60035,north,east,valid,147
,,south,west,missing,148
-31.35,129.19,south,east,valid,149
10.01667,9.58333,north,east,valid,150
5.0,48.0,north,east,valid,151
37.62194,-82.23722,north,west,valid,152
40.2,29.23333,north,east,valid,153
46.45,25.78333,north,east,valid,154
26.78333,82.83333,north,east,valid,155
27.08333,84.08333,north,east,valid,156
52.996,-109.84817,north,west,valid,157
37.98333,-1.16667,north,west,valid,158
35.5,-93.5,north,west,valid,159
43.83889,20.33333,north,east,valid,160
3.405,-76.51,north,west,valid,161
11.75,122.33333,north,east,valid,162
-7.03333,-40.16667,south,west,valid,163
39.8,26.6,north,east,valid,164
41.25,1.66667,north,east,valid,165
43.38333,-5.15,north,west,valid,166
38.47028,-105.24139,north,west,valid,167
37.26667,-89.58333,north,west,valid,168
-30.88333,-64.55,south,west,valid,169
-16.66444,-69.04389,south,west,valid,170
38.5,27.0,north,east,valid,171
36.08333,-78.06667,north,west,valid,172
43.35,11.5,north,east,valid,173
44.38333,-68.75,north,west,valid,174
39.8,16.2,north,east,valid,175
36.5,-79.25,north,west,valid,176
26.46667,-105.23333,north,west,valid,177
43.2,-96.91667,north,west,valid,178
45.08333,8.3,north,east,valid,179
28.53333,109.31667,north,east,valid,180
25.36667,81.66667,north,east,valid,181
25.85,83.48333,north,east,valid,182
-30.78333,-58.05,south,west,valid,183
20.26667,76.01667,north,east,valid,184
27.28333,79.05,north,east,valid,185
29.08333,111.75,north,east,valid,186
46.68333,1.05,north,east,valid,187
36.16667,-87.33333,north,west,valid,188
47.93333,1.56667,north,east,valid,189
29.48333,75.5,north,east,valid,190
47.71667,5.36667,north,east,valid,191
47.93333,2.91667,north,east,valid,192
41.93333,-7.46667,north,west,valid,193
-3.66667,32.5,south,east,valid,194
54.81667,61.11667,north,east,valid,195
23.69639,-5.01472,north,west,valid,196
53.7,30.1,north,east,valid,197
35.03333,-81.88333,north,west,valid,198
46.55,6.81667,north,east,valid,199
50.83333,34.0,north,east,valid,200
14.5,76.5,north,east,valid,201
17.9,101.63333,north,east,valid,202
40.93333,-79.73333,north,west,valid,203
-10.05944,33.395,south,east,valid,204
-17.35,13.96667,south,east,valid,205
47.47083,0.97667,north,east,valid,206
-6.95,108.1,south,east,valid,207
32.1025,-81.87278,north,west,valid,208
44.9,-90.28333,north,west,valid,209
-33.13333,19.38333,south,east,valid,210
43.76111,-84.50778,north,west,valid,211
42.53333,12.61667,north,east,valid,212
-19.85,-47.55,south,west,valid,213
21.16667,-100.86667,north,west,valid,214
10.2,76.26667,north,east,valid,215
35.95,-97.58333,north,west,valid,216
-27.7,27.3,south,east,valid,217
35.63333,-78.13333,north,west,valid,218
54.61667,-6.21667,north,west,valid,219
36.83333,-84.35,north,west,valid,220
38.4,-84.25,north,west,valid,221
35.61667,8.83333,north,east,valid,222
26.91667,83.96667,north,east,valid,223
-28.2,24.56667,south,east,valid,224
34.4,-87.06667,north,west,valid,225
49.86667,8.65,north,east,valid,226
41.98444,59.685,north,east,valid,227
-1.87089,-79.95756,south,west,valid,228
43.0,-80.0,north,west,valid,229
40.25,-74.0,north,west,valid,230
28.56667,77.25,north,east,valid,231
51.46667,84.76667,north,east,valid,232
39.7825,-104.93056,north,west,valid,233
26.68333,93.86667,north,east,valid,234
25.73333,73.61667,north,east,valid,235
19.0,81.0,north,east,valid,236
24.225,76.525,north,east,valid,237
22.37778,71.42722,north,east,valid,238
14.88333,75.6,north,east,valid,239
32.23333,76.46667,north,east,valid,240
37.35172,27.32997,north,east,valid,241
-33.75,18.56667,south,east,valid,242
-31.88333,-60.46667,south,west,valid,243
-7.5,111.5,south,east,valid,244
12.73333,15.05,north,east,valid,245
36.95,9.55,north,east,valid,246
23.5,90.33333,north,east,valid,247
50.75,25.3,north,east,valid,248
40.0,29.0,north,east,valid,249
45.5,119.03333,north,east,valid,250
21.86667,82.45,north,east,valid,251
32.91667,120.78333,north,east,valid,252
51.2,112.3,north,east,valid,253
13.05,3.16667,north,east,valid,254
32.33333,-6.3,north,west,valid,255
-13.66667,33.91667,south,east,valid,256
36.4,-86.5,north,west,valid,257
42.52,-82.26,north,west,valid,258
42.45833,18.44167,north,east,valid,259
-31.66667,152.83333,south,east,valid,260
52.55,-8.03333,north,west,valid,261
43.33333,128.25,north,east,valid,262
30.3,76.63333,north,east,valid,263
-4.0,39.5,south,east,valid,264
33.43333,127.26667,north,east,valid,265
-27.2,31.31667,south,east,valid,266
26.25,82.0,north,east,valid,267
-3.0,151.0,south,east,valid,268
40.78167,-96.47167,north,west,valid,269
-17.3,15.83333,south,east,valid,270
48.9,11.21667,north,east,valid,271
56.03333,13.0,north,east,valid,272
28.26667,78.78333,north,east,valid,273
34.41667,3.25,north,east,valid,274
25.37,-97.37,north,west,valid,275
19.96722,-103.05167,north,west,valid,276
39.24667,-104.58817,north,west,valid,277
50.18333,12.73333,north,east,valid,278
47.83333,37.66667,north,east,valid,279
51.75,4.0,north,east,valid,280
-29.46667,151.61667,south,east,valid,281
30.3,109.5,north,east,valid,282
47.86667,7.35,north,east,valid,283
48.18333,6.46667,north,east,valid,284
19.03333,81.89167,north,east,valid,285
40.3,44.5,north,east,valid,286
1.16667,44.16667,north,east,valid,287
52.21667,11.25,north,east,valid,288
46.25,-1.1,north,west,valid,289
2.88333,30.83333,north,east,valid,290
43.41667,-94.83333,north,west,valid,291
39.75,-97.03333,north,west,valid,292
35.55,-77.53333,north,west,valid,293
44.38333,2.81667,north,east,valid,294
36.05,-94.16667,north,west,valid,295
36.88333,8.45,north,east,valid,296
32.53333,-87.16667,north,west,valid,297
34.6,116.75,north,east,valid,298
36.1,-81.41667,north,west,valid,299
43.18111,13.75333,north,east,valid,300
47.81667,-96.85,north,west,valid,301
30.83333,-97.76667,north,west,valid,302
43.25,-93.66667,north,west,valid,303
-33.35,146.85833,south,east,valid,304
36.78333,-78.08333,north,west,valid,305
50.95,7.31667,north,east,valid,306
33.01667,-83.96667,north,west,valid,307
28.25,7.0,north,east,valid,308
34.48333,-87.83333,north,west,valid,309
31.47556,113.56694,north,east,valid,310
33.18333,130.2,north,east,valid,311
55.33333,10.33333,north,east,valid,312
25.95,80.81667,north,east,valid,313
32.9,115.9,north,east,valid,314
44.3,0.4,north,east,valid,315
7.05,12.43333,north,east,valid,316
51.68333,30.78333,north,east,valid,317
27.35,68.53333,north,east,valid,318
11.65,-2.18333,north,west,valid,319
27.88333,68.53333,north,east,valid,320
41.68333,-112.13333,north,west,valid,321
12.85,11.03333,north,east,valid,322
14.15083,-2.04167,north,west,valid,323
12.91667,11.91667,north,east,valid,324
35.53333,136.88333,north,east,valid,325
37.31667,13.56667,north,east,valid,326
9.6,9.91667,north,east,valid,327
52.2,6.86667,north,east,valid,328
-7.25,107.7,south,east,valid,329
57.35,37.61667,north,east,valid,330
52.45972,-0.3,north,west,valid,331
50.66667,16.76667,north,east,valid,332
24.23333,89.05,north,east,valid,333
48.28333,38.08333,north,east,valid,334
42.9,2.25,north,east,valid,335
60.66667,11.0,north,east,valid,336
43.2,-79.61667,north,west,valid,337
43.66667,45.38333,north,east,valid,338
49.26667,18.71667,north,east,valid,339
46.35,30.58333,north,east,valid,340
51.93333,15.5,north,east,valid,341
52.86667,16.63333,north,east,valid,342
-33.0,-58.61667,south,west,valid,343
39.80417,122.76389,north,east,valid,344
24.1,105.0,north,east,valid,345
37.1,118.4,north,east,valid,346
38.73333,-6.01667,north,west,valid,347
43.76667,20.23333,north,east,valid,348
13.5,-0.68333,north,west,valid,349
9.91667,13.98333,north,east,valid,350
22.98333,76.05,north,east,valid,351
11.49167,11.65833,north,east,valid,352
42.9,24.7,north,east,valid,353
13.78333,78.56667,north,east,valid,354
9.36667,42.41667,north,east,valid,355
51.91667,8.38333,north,east,valid,356
35.0,127.5,north,east,valid,357
35.65,139.33333,north,east,valid,358
50.31667,3.73333,north,east,valid,359
57.81667,16.23333,north,east,valid,360
41.38333,-86.6,north,west,valid,361
26.8,82.53333,north,east,valid,362
28.38333,75.78333,north,east,valid,363
32.675,-94.51167,north,west,valid,364
38.25,-86.16667,north,west,valid,365
35.2945,136.70033,north,east,valid,366
28.95,0.81667,north,east,valid,367
51.65,-1.51667,north,west,valid,368
60.24556,22.06194,north,east,valid,369
55.46667,13.78333,north,east,valid,370
27.33333,35.66667,north,east,valid,371
10.0,-84.1,north,west,valid,372
59.85,17.66667,north,east,valid,373
33.6,130.43333,north,east,valid,374
55.9,-4.23333,north,west,valid,375
34.45,132.38333,north,east,valid,376
1.345,31.47278,north,east,valid,377
64.43333,21.2,north,east,valid,378
34.9,-110.18333,north,west,valid,379
9.06667,38.41667,north,east,valid,380
41.8,-91.86667,north,west,valid,381
21.3,-157.86667,north,west,valid,382
35.66667,115.5,north,east,valid,383
39.35,-100.45,north,west,valid,384
46.1,16.33333,north,east,valid,385
26.46469,106.63241,north,east,valid,386
50.3,8.91667,north,east,valid,387
61.18333,22.68333,north,east,valid,388
52.28333,7.7,north,east,valid,389
-20.0,-45.0,south,west,valid,390
38.0,35.0,north,east,valid,391
58.2,82.93333,north,east,valid,392
-32.1,28.33333,south,east,valid,393
-23.2,-51.83333,south,west,valid,394
-6.03333,145.36667,south,east,valid,395
39.75,46.66667,north,east,valid,396
39.08333,-94.4,north,west,valid,397
41.0,112.0,north,east,valid,398
53.415,-111.3375,north,west,valid,399
-25.5,-54.5,south,west,valid,400
-8.93333,33.8,south,east,valid,401
-31.18333,-57.95,south,west,valid,402
-3.4,-44.33333,south,west,valid,403
26.59083,-12.95217,north,west,valid,404
-8.41667,32.43333,south,east,valid,405
-32.5,21.9,south,east,valid,406
26.75,68.41667,north,east,valid,407
31.0,75.0,north,east,valid,408
18.75,75.33333,north,east,valid,409
39.7,105.8,north,east,valid,410
43.83333,20.44167,north,east,valid,411
46.42137,14.05217,north,east,valid,412
31.3,72.38333,north,east,valid,413
31.91667,104.91667,north,east,valid,414
30.80833,109.5,north,east,valid,415
44.05,126.16667,north,east,valid,416
22.68,70.31333,north,east,valid,417
55.7,24.4,north,east,valid,418
40.35,-104.9,north,west,valid,419
-11.85,15.83333,south,east,valid,420
45.43333,-0.45,north,west,valid,421
35.5,115.41667,north,east,valid,422
12.85,76.8,north,east,valid,423
-7.71667,111.2,south,east,valid,424
35.2,118.8,north,east,valid,425
38.74028,-7.27,north,west,valid,426
44.71667,4.3,north,east,valid,427
47.35,21.3,north,east,valid,428
11.85,8.21667,north,east,valid,429
27.08333,78.33333,north,east,valid,430
27.25,79.96667,north,east,valid,431
49.86667,30.83333,north,east,valid,432
15.0,48.3,north,east,valid,433
55.43333,53.25,north,east,valid,434
12.38333,78.51667,north,east,valid,435
45.13333,21.66667,north,east,valid,436
-6.83333,29.5,south,east,valid,437
17.83333,73.98333,north,east,valid,438
26.03333,81.46667,north,east,valid,439
36.04167,139.95667,north,east,valid,440
14.18333,75.8,north,east,valid,441
31.6,65.78333,north,east,valid,442
-7.0,115.5,south,east,valid,443
32.08333,76.3,north,east,valid,444
4.7,33.63333,north,east,valid,445
20.33916,73.22329,north,east,valid,446
42.45,73.36667,north,east,valid,447
47.21667,81.01667,north,east,valid,448
-3.5,35.58333,south,east,valid,449
12.9,7.15,north,east,valid,450
27.8,67.16667,north,east,valid,451
31.58333,71.6,north,east,valid,452
-35.08333,139.91667,south,east,valid,453
35.36667,136.76667,north,east,valid,454
29.58333,77.58333,north,east,valid,455
11.33333,10.08333,north,east,valid,456
25.14333,75.81333,north,east,valid,457
39.26333,31.78,north,east,valid,458
-7.75,112.01667,south,east,valid,459
36.54194,29.41822,north,east,valid,460
29.45,-96.0,north,west,valid,461
20.4625,86.70278,north,east,valid,462
48.4,-3.3,north,west,valid,463
48.11667,-3.08333,north,west,valid,464
38.98333,141.61667,north,east,valid,465
29.53333,72.3,north,east,valid,466
25.55,83.11667,north,east,valid,467
50.625,35.075,north,east,valid,468
26.95,77.88333,north,east,valid,469
28.01667,75.81667,north,east,valid,470
56.75,75.33333,north,east,valid,471
25.1,81.53333,north,east,valid,472
16.0,36.0,north,east,valid,473
14.0,28.0,north,east,valid,474
54.4,10.15,north,east,valid,475
16.58333,-11.33333,north,west,valid,476
36.85,138.38333,north,east,valid,477
55.0,34.0,north,east,valid,478
12.76667,9.8,north,east,valid,479
43.58333,-89.6,north,west,valid,480
54.66667,-7.66667,north,west,valid,481
11.63333,24.68333,north,east,valid,482
30.75,-95.95,north,west,valid,483
48.16667,22.30833,north,east,valid,484
43.38333,-80.38333,north,west,valid,485
51.6,10.8,north,east,valid,486
48.9,22.4,north,east,valid,487
34.73333,135.16667,north,east,valid,488
34.3,133.95,north,east,valid,489
35.73333,139.75,north,east,valid,490
42.51667,26.16667,north,east,valid,491
48.76367,21.17633,north,east,valid,492
49.32694,7.46472,north,east,valid,493
54.03333,40.9,north,east,valid,494
54.33333,56.08333,north,east,valid,495
56.8,77.0,north,east,valid,496
47.83333,30.76667,north,east,valid,497
51.15,31.7,north,east,valid,498
30.73111,66.80222,north,east,valid,499
50.75,33.5,north,east,valid,500
41.11667,45.0,north,east,valid,501
55.78333,61.36667,north,east,valid,502
42.25,59.2,north,east,valid,503
37.05,138.38333,north,east,valid,504
29.68333,78.38333,north,east,valid,505
44.51667,39.3,north,east,valid,506
10.83333,76.03333,north,east,valid,507
55.2,75.33333,north,east,valid,508
32.03333,130.63333,north,east,valid,509
47.08333,1.75,north,east,valid,510
20.66667,-101.28333,north,west,valid,511
-37.33333,-61.53333,south,west,valid,512
-31.23333,-58.16667,south,west,valid,513
44.28333,5.58333,north,east,valid,514
26.78333,82.71667,north,east,valid,515
48.76667,0.63333,north,east,valid,516
21.86667,76.03333,north,east,valid,517
24.45,78.56667,north,east,valid,518
47.7,1.06667,north,east,valid,519
43.75,5.11667,north,east,valid,520
58.85,16.73333,north,east,valid,521
46.24167,126.19611,north,east,valid,522
47.75,16.23333,north,east,valid,523
33.13333,115.16667,north,east,valid,524
51.9,-1.11667,north,west,valid,525
52.45,51.56667,north,east,valid,526
47.16667,0.43333,north,east,valid,527
48.53333,-0.86667,north,west,valid,528
35.88333,-99.33333,north,west,valid,529
-25.66667,28.36667,south,east,valid,530
52.66667,-6.96667,north,west,valid,531
34.58333,-87.5,north,west,valid,532
52.26667,32.85,north,east,valid,533
48.35,3.25,north,east,valid,534
50.36667,4.73333,north,east,valid,535
-26.15,26.18333,south,east,valid,536
56.65,15.86667,north,east,valid,537
52.56667,-8.78333,north,west,valid,538
52.75,12.9,north,east,valid,539
31.63333,118.98333,north,east,valid,540
50.2,14.85,north,east,valid,541
37.91667,-92.08333,north,west,valid,542
56.0,26.43333,north,east,valid,543
29.53333,71.8,north,east,valid,544
26.96556,72.62667,north,east,valid,545
38.70066,-77.21163,north,west,valid,546
38.0,-0.83333,north,west,valid,547
36.00833,-95.15,north,west,valid,548
38.25,-85.75,north,west,valid,549
52.0,19.91667,north,east,valid,550
24.95,75.15,north,east,valid,551
47.85,0.48333,north,east,valid,552
32.03333,-84.76667,north,west,valid,553
24.8,103.3,north,east,valid,554
56.21667,13.03333,north,east,valid,555
61.2,27.7,north,east,valid,556
46.21667,5.0,north,east,valid,557
-7.21667,29.43333,south,east,valid,558
19.0,97.0,north,east,valid,559
-5.2,-36.66667,south,west,valid,560
-15.21222,35.24222,south,east,valid,561
-28.83333,31.95,south,east,valid,562
25.91667,86.36667,north,east,valid,563
-7.75,111.53333,south,east,valid,564
40.41667,-3.71667,north,west,valid,565
-26.16667,-49.93333,south,west,valid,566
37.86667,27.51667,north,east,valid,567
-19.48333,31.65,south,east,valid,568
27.66667,95.78333,north,east,valid,569
12.83333,9.38333,north,east,valid,570
32.21667,-104.0,north,west,valid,571
9.5,31.75,north,east,valid,572
-3.13333,33.51667,south,east,valid,573
-28.93333,-63.23333,south,west,valid,574
-29.45,26.76667,south,east,valid,575
45.21667,62.08333,north,east,valid,576
23.05,86.7,north,east,valid,577
20.96667,76.1,north,east,valid,578
-17.65,31.6,south,east,valid,579
45.81667,44.63333,north,east,valid,580
34.23333,72.08333,north,east,valid,581
42.71667,-99.38333,north,west,valid,582
54.76183,11.46745,north,east,valid,583
4.66667,29.25,north,east,valid,584
-22.25,-49.93333,south,west,valid,585
41.9,-91.6,north,west,valid,586
61.5,30.5,north,east,valid,587
44.5,0.15,north,east,valid,588
-14.2,48.1,south,east,valid,589
35.8,-84.1,north,west,valid,590
45.36667,1.86667,north,east,valid,591
48.13333,12.61667,north,east,valid,592
48.18333,13.13333,north,east,valid,593
-20.0,57.0,south,east,valid,594
8.96667,12.08333,north,east,valid,595
24.68333,-101.68333,north,west,valid,596
-1.21667,30.0,south,east,valid,597
1.06667,34.16667,north,east,valid,598
-27.25,-67.5,south,west,valid,599
29.01667,77.8,north,east,valid,600
-6.23333,106.88333,south,east,valid,601
53.18333,13.15,north,east,valid,602
46.81867,7.21817,north,east,valid,603
55.05,12.06667,north,east,valid,604
0.0,37.66667,north,east,valid,605
25.48333,81.98333,north,east,valid,606
38.18333,15.56667,north,east,valid,607
50.58333,11.1,north,east,valid,608
45.76667,3.25,north,east,valid,609
46.5,25.73333,north,east,valid,610
25.9,83.61667,north,east,valid,611
34.8,111.7,north,east,valid,612
54.56667,-1.16667,north,west,valid,613
42.9075,-90.36556,north,west,valid,614
48.06667,30.96667,north,east,valid,615
35.56833,133.22,north,east,valid,616
46.23333,17.53333,north,east,valid,617
46.18333,16.1,north,east,valid,618
-26.45,120.36667,south,east,valid,619
35.4,-92.05,north,west,valid,620
35.07833,136.93333,north,east,valid,621
37.28333,14.7,north,east,valid,622
32.33333,120.66667,north,east,valid,623
47.7,16.6,north,east,valid,624
25.68333,83.25,north,east,valid,625
56.66667,23.0,north,east,valid,626
61.73333,5.93333,north,east,valid,627
46.8,24.03333,north,east,valid,628
38.5,-101.1,north,west,valid,629
-39.63333,174.4,south,east,valid,630
38.11667,-1.16667,north,west,valid,631
-31.25,26.46667,south,east,valid,632
31.60833,-102.85833,north,west,valid,633
35.25,-80.5,north,west,valid,634
38.01667,-8.25,north,west,valid,635
43.26667,13.35,north,east,valid,636
43.39056,1.9625,north,east,valid,637
47.63333,1.58333,north,east,valid,638
-15.96667,27.35,south,east,valid,639
35.41667,-79.38333,north,west,valid,640
52.45,-8.33333,north,west,valid,641
-40.975,145.6,south,east,valid,642
28.78333,78.83333,north,east,valid,643
49.6,18.53333,north,east,valid,644
44.6,5.13333,north,east,valid,645
59.43333,10.7,north,east,valid,646
26.83333,77.33333,north,east,valid,647
45.2,8.5,north,east,valid,648
-29.8,141.7,south,east,valid,649
18.7,4.8,north,east,valid,650
44.08333,6.86667,north,east,valid,651
-11.5,33.5,south,east,valid,652
12.63333,77.01667,north,east,valid,653
9.33333,80.83333,north,east,valid,654
24.5,90.21667,north,east,valid,655
-36.61667,145.2,south,east,valid,656
36.6,-88.1,north,west,valid,657
26.13333,85.53333,north,east,valid,658
23.05,72.63333,north,east,valid,659
12.0,1.0,north,east,valid,660
38.12167,140.06167,north,east,valid,661
26.98333,78.21667,north,east,valid,662
49.16667,19.5,north,east,valid,663
31.31667,30.35,north,east,valid,664
13.73333,100.08333,north,east,valid,665
12.28333,79.2,north,east,valid,666
35.66667,103.5,north,east,valid,667
38.41667,-77.16667,north,west,valid,668
32.11667,121.8,north,east,valid,669
19.25,77.0,north,east,valid,670
33.75,51.5,north,east,valid,671
-34.05,150.68889,south,east,valid,672
42.51667,12.51667,north,east,valid,673
-21.73333,165.9,south,east,valid,674
21.25,83.66667,north,east,valid,675
36.44917,136.46528,north,east,valid,676
18.68333,83.48333,north,east,valid,677
9.5,35.33333,north,east,valid,678
56.5,21.5,north,east,valid,679
47.525,10.80833,north,east,valid,680
40.0,-81.76667,north,west,valid,681
15.36667,35.68333,north,east,valid,682
29.94718,-90.10976,north,west,valid,683
-7.45,111.41667,south,east,valid,684
13.85,-4.38333,north,west,valid,685
49.03333,-1.43333,north,west,valid,686
52.45,78.63333,north,east,valid,687
56.11667,37.33333,north,east,valid,688
29.86667,121.48333,north,east,valid,689
32.925,105.90667,north,east,valid,690
34.2,131.56667,north,east,valid,691
-28.56667,30.7,south,east,valid,692
44.08333,-69.48333,north,west,valid,693
40.08528,-86.055,north,west,valid,694
33.725,130.75,north,east,valid,695
-32.36667,-59.83333,south,west,valid,696
36.21667,-92.26667,north,west,valid,697
39.68333,-99.86667,north,west,valid,698
45.29167,11.52722,north,east,valid,699
54.81667,46.0,north,east,valid,700
58.55,31.33333,north,east,valid,701
56.0,22.0,north,east,valid,702
42.91667,102.46667,north,east,valid,703
24.3,-102.13333,north,west,valid,704
41.63333,0.75,north,east,valid,705
43.33333,141.86667,north,east,valid,706
21.20833,94.91667,north,east,valid,707
47.55,22.025,north,east,valid,708
57.78333,55.26667,north,east,valid,709
52.28333,8.05,north,east,valid,710
58.5,23.0,north,east,valid,711
47.88333,22.03333,north,east,valid,712
33.28333,130.2,north,east,valid,713
46.06667,23.58333,north,east,valid,714
6.75,8.5,north,east,valid,715
38.18333,-5.4,north,west,valid,716
36.18333,139.21667,north,east,valid,717
35.08333,135.2,north,east,valid,718
50.83333,25.5,north,east,valid,719
52.95,8.16667,north,east,valid,720
39.0,-0.03333,north,west,valid,721
38.71667,-7.06667,north,west,valid,722
39.56667,-2.1,north,west,valid,723
64.02,161.80833,north,east,valid,724
43.88333,1.38333,north,east,valid,725
28.5475,-81.36222,north,west,valid,726
47.11667,6.15,north,east,valid,727
48.5,8.0,north,east,valid,728
42.13333,12.93333,north,east,valid,729
58.88333,9.4,north,east,valid,730
38.4,140.35,north,east,valid,731
38.6,-95.21667,north,west,valid,732
12.9,0.08,north,east,valid,733
30.18,-6.57717,north,west,valid,734
24.3,-13.1,north,west,valid,735
37.60833,-8.28,north,west,valid,736
-18.0,16.0,south,east,valid,737
43.4,-5.86667,north,west,valid,738
51.33333,28.83333,north,east,valid,739
21.05,-99.3,north,west,valid,740
55.66667,25.0,north,east,valid,741
17.74333,120.45583,north,east,valid,742
32.31667,-89.71667,north,west,valid,743
-23.11667,-65.1,south,west,valid,744
43.48333,118.61667,north,east,valid,745
39.8,-91.5,north,west,valid,746
21.3,-157.78333,north,west,valid,747
15.08333,120.7,north,east,valid,748
