meteorite_id,location_key,time_key,classification_key,mass_g,severity_score,mass_category,fall_found_flag,location_quality
2346,51,47,5,1300.0,3.0,large,fell,valid
2353,52,48,7,2000.0,3.0,large,fell,valid
4883,53,10,26,1280.0,3.0,large,fell,valid
4884,54,49,5,94.2,1.0,small,fell,valid
4885,55,50,25,265.0,2.0,medium,fell,valid
4888,56,51,5,1384.2,3.0,large,fell,valid
4893,57,52,27,800.0,2.0,medium,fell,valid
4899,58,53,5,50000.0,4.0,massive,fell,valid
4900,59,54,5,2000.0,3.0,large,fell,valid
4903,60,55,1,50000.0,4.0,massive,fell,valid
4905,61,3,11,9330.0,3.0,large,fell,valid
4906,62,56,28,1230.0,3.0,large,fell,valid
4907,63,57,12,146.0,2.0,medium,fell,valid
4910,64,58,26,134.0,2.0,medium,fell,valid
4913,65,59,5,2830.0,3.0,large,fell,valid
4917,66,8,5,18000.0,4.0,massive,fell,valid
4922,67,60,29,10322.0,4.0,massive,fell,valid
4925,68,61,26,3700.0,3.0,large,fell,valid
4926,69,62,5,345.0,2.0,medium,fell,valid
4928,70,63,19,1000.0,2.0,medium,fell,valid
4934,71,64,30,16700.0,4.0,massive,fell,valid
4935,72,65,25,11500.0,4.0,massive,fell,valid
4936,73,66,5,15000.0,4.0,massive,fell,valid
4937,74,67,1,14.0,1.0,small,fell,valid
4938,75,50,31,629.0,2.0,medium,fell,valid
4942,76,68,7,6400.0,3.0,large,fell,valid
4944,77,69,32,,,,fell,valid
4946,78,54,33,3200.0,3.0,large,fell,valid
4947,79,70,7,23.2,1.0,small,fell,valid
4948,80,48,34,17.0,1.0,small,fell,valid
4949,81,71,5,4500.0,3.0,large,fell,valid
4954,82,72,1,44000.0,4.0,massive,fell,valid
44876,83,73,7,29560.0,4.0,massive,fell,valid
4957,84,74,1,15500.0,4.0,massive,fell,valid
4974,85,66,11,21000.0,4.0,massive,fell,valid
4975,86,5,5,86000.0,4.0,massive,fell,valid
56133,87,75,5,2900.0,3.0,large,fell,valid
4976,88,76,15,1557.0,3.0,large,fell,valid
4977,89,77,5,611.0,2.0,medium,fell,valid
4984,90,61,7,16000.0,4.0,massive,fell,valid
4986,91,78,7,14000.0,4.0,massive,fell,valid
4993,92,7,7,794.0,2.0,medium,fell,valid
5005,93,79,35,375.0,2.0,medium,fell,valid
5009,94,80,32,,,,fell,valid
5011,95,81,34,3700.0,3.0,large,fell,valid
30443,96,82,25,25000.0,4.0,massive,fell,valid
5018,97,18,5,19000.0,4.0,massive,fell,valid
5021,98,59,2,1770.5,3.0,large,fell,valid
5023,99,83,2,3880.0,3.0,large,fell,valid
5024,100,21,25,45000.0,4.0,massive,fell,valid
5026,101,7,25,2840.0,3.0,large,fell,valid
48975,102,29,5,270.0,2.0,medium,fell,valid
5028,103,84,18,18000.0,4.0,massive,fell,valid
5029,104,85,5,1440.0,3.0,large,fell,valid
47355,105,82,18,960.0,2.0,medium,fell,valid
5032,106,86,12,13.9,1.0,small,fell,valid
5034,107,86,1,2000.0,3.0,large,fell,valid
5035,108,87,36,1100.0,3.0,large,fell,valid
5037,109,88,5,18.0,1.0,small,fell,valid
36591,110,21,25,678.0,2.0,medium,fell,valid
5039,111,78,5,100.0,1.0,small,fell,valid
5040,112,89,6,1047.0,3.0,large,fell,valid
5041,113,90,37,2500.0,3.0,large,fell,valid
5042,114,91,38,4000.0,3.0,large,fell,valid
5043,115,92,11,1900.0,3.0,large,fell,valid
5045,116,93,39,25000.0,4.0,massive,fell,valid
5051,117,39,7,488.1,2.0,medium,fell,valid
5056,118,47,11,560.0,2.0,medium,fell,valid
5059,119,94,27,6000.0,3.0,large,fell,valid
5060,120,31,40,1039.0,3.0,large,fell,valid
5063,121,95,2,1850.0,3.0,large,fell,valid
5064,122,27,17,330000.0,5.0,massive,fell,valid
5065,123,96,1,705.0,2.0,medium,fell,valid
5068,124,97,1,2381.0,3.0,large,fell,valid
5071,125,98,5,5100.0,3.0,large,fell,valid
5072,126,99,2,470.0,2.0,medium,fell,valid
5076,127,59,25,67.8,1.0,small,fell,valid
5090,128,30,41,7500.0,3.0,large,fell,valid
5093,129,100,5,56.0,1.0,small,fell,valid
5097,130,101,42,8800.0,3.0,large,fell,valid
5098,131,77,28,256000.0,5.0,massive,fell,valid
5110,132,102,25,1676.0,3.0,large,fell,valid
5111,133,103,5,8600.0,3.0,large,fell,valid
5112,134,9,31,1342.0,3.0,large,fell,valid
5113,135,104,1,7000.0,3.0,large,fell,valid
5114,136,105,7,500.0,2.0,medium,fell,valid
5117,137,106,26,614.0,2.0,medium,fell,valid
57168,138,107,5,190.0,2.0,medium,fell,valid
57167,139,108,5,3599.0,3.0,large,fell,valid
5121,140,28,22,5460.0,3.0,large,fell,valid
5128,141,48,8,762.0,2.0,medium,fell,valid
5133,142,109,28,39000.0,4.0,massive,fell,valid
5134,143,110,7,1500.0,3.0,large,fell,valid
5135,144,57,43,7250.0,3.0,large,fell,valid
5140,145,50,38,219.0,2.0,medium,fell,valid
5156,146,111,5,303000.0,5.0,massive,fell,valid
30448,147,18,19,5300.0,3.0,large,fell,valid
5163,148,112,44,2250.0,3.0,large,fell,missing
48653,149,113,45,324.0,2.0,medium,fell,valid
5165,150,37,37,357.0,2.0,medium,fell,valid
5169,151,6,7,120000.0,5.0,massive,fell,valid
5175,152,114,46,1504.0,3.0,large,fell,valid
5177,153,115,5,25000.0,4.0,massive,fell,valid
5178,154,116,5,5000.0,3.0,large,fell,valid
5181,155,104,27,1500.0,3.0,large,fell,valid
5183,156,117,2,29000.0,4.0,massive,fell,valid
48654,157,29,11,41000.0,4.0,massive,fell,valid
5185,158,118,47,25000.0,4.0,massive,fell,valid
5186,159,48,48,48500.0,4.0,massive,fell,valid
5187,160,6,32,212.0,2.0,medium,fell,valid
45976,161,113,49,478.0,2.0,medium,fell,valid
5200,162,77,21,2400.0,3.0,large,fell,valid
5249,163,119,1,23680.0,4.0,massive,fell,valid
5250,164,112,5,4000.0,3.0,large,fell,valid
5251,165,117,11,945.0,2.0,medium,fell,valid
5252,166,120,7,34000.0,4.0,massive,fell,valid
5253,167,121,2,1400.0,3.0,large,fell,valid
5260,168,122,2,2300.0,3.0,large,fell,valid
5264,169,60,2,750.0,2.0,medium,fell,valid
45817,170,113,50,342.0,2.0,medium,fell,valid
5265,171,5,25,8.0,1.0,tiny,fell,valid
5291,172,123,7,7300.0,3.0,large,fell,valid
5292,173,124,21,,,,fell,valid
5293,174,125,5,94.0,1.0,small,fell,valid
5295,175,126,21,15000.0,4.0,massive,fell,valid
5296,176,127,32,1360.0,3.0,large,fell,valid
5306,177,128,51,1025.0,3.0,large,fell,valid
5307,178,110,7,45.6,1.0,small,fell,valid
5308,179,129,7,6460.0,3.0,large,fell,valid
5313,180,130,5,3700.0,3.0,large,fell,valid
5314,181,8,2,0.5,1.0,tiny,fell,valid
5315,182,63,52,8200.0,3.0,large,fell,valid
5316,183,50,1,18300.0,4.0,massive,fell,valid
5320,184,14,1,8800.0,3.0,large,fell,valid
5321,185,131,5,1100.0,3.0,large,fell,valid
5322,186,30,7,1810.0,3.0,large,fell,valid
5325,187,105,5,31500.0,4.0,massive,fell,valid
5328,188,22,13,4300.0,3.0,large,fell,valid
5329,189,127,2,27000.0,4.0,massive,fell,valid
5330,190,132,2,12000.0,4.0,massive,fell,valid
5331,191,133,53,4000.0,3.0,large,fell,valid
5332,192,134,5,30000.0,4.0,massive,fell,valid
5334,193,12,37,2945.0,3.0,large,fell,valid
5338,194,128,11,2936.0,3.0,large,fell,valid
57165,195,135,15,100000.0,4.0,massive,fell,valid
47347,196,113,7,100000.0,4.0,massive,fell,valid
5339,197,112,11,6000.0,3.0,large,fell,valid
5340,198,50,25,8400.0,3.0,large,fell,valid
5341,199,136,1,705.0,2.0,medium,fell,valid
5342,200,33,18,1700.0,3.0,large,fell,valid
5344,201,1,21,72.0,1.0,small,fell,valid
5345,202,16,2,367.0,2.0,medium,fell,valid
5349,203,59,25,303.0,2.0,medium,fell,valid
5355,204,128,48,3920.0,3.0,large,fell,valid
5356,205,137,5,,,,fell,valid
5357,206,138,5,4000.0,3.0,large,fell,valid
5364,207,139,1,1600.0,3.0,large,fell,valid
5374,208,39,5,1455.0,3.0,large,fell,valid
5383,148,35,26,48.6,1.0,small,fell,missing
5395,209,140,5,104000.0,5.0,massive,fell,valid
5397,210,14,31,5200.0,3.0,large,fell,valid
5401,211,74,5,469.0,2.0,medium,fell,valid
5403,212,141,7,5000.0,3.0,large,fell,valid
5418,213,72,11,20350.0,4.0,massive,fell,valid
5451,214,142,7,1200.0,3.0,large,fell,valid
5465,215,140,5,1460.0,3.0,large,fell,valid
5470,216,143,31,78.4,1.0,small,fell,valid
5474,217,88,7,3650.0,3.0,large,fell,valid
5476,218,66,7,167.0,2.0,medium,fell,valid
5477,219,5,1,4255.0,3.0,large,fell,valid
5496,220,6,27,17000.0,4.0,massive,fell,valid
5500,221,88,17,6000.0,3.0,large,fell,valid
5504,222,16,25,18000.0,4.0,massive,fell,valid
5511,223,144,5,5650.0,3.0,large,fell,valid
5513,224,145,54,1064.0,3.0,large,fell,valid
5514,225,145,5,2000.0,3.0,large,fell,valid
6603,226,100,7,100.0,1.0,small,fell,valid
6604,227,130,7,7000.0,3.0,large,fell,valid
51559,228,29,1,6580.0,3.0,large,fell,valid
6621,229,92,2,340.0,2.0,medium,fell,valid
6634,230,146,5,28.0,1.0,small,fell,valid
6642,231,147,1,0.8,1.0,tiny,fell,valid
6649,232,148,5,16400.0,4.0,massive,fell,valid
6660,233,149,5,230.0,2.0,medium,fell,valid
6664,234,18,7,12500.0,4.0,massive,fell,valid
6693,235,101,2,25400.0,4.0,massive,fell,valid
6694,236,18,55,12000.0,4.0,massive,fell,valid
6696,237,74,5,1140.0,3.0,large,fell,valid
6698,238,4,55,45000.0,4.0,massive,fell,valid
6699,239,125,32,1800.0,3.0,large,fell,valid
7640,240,24,25,32000.0,4.0,massive,fell,valid
47350,241,113,56,3396.0,3.0,large,fell,valid
7642,242,97,5,1000.0,2.0,medium,fell,valid
7649,243,17,11,400.0,2.0,medium,fell,valid
7652,244,150,2,166000.0,5.0,massive,fell,valid
7656,245,79,12,3950.0,3.0,large,fell,valid
7657,246,93,57,10000.0,3.0,large,fell,valid
7658,247,151,7,3840.0,3.0,large,fell,valid
7659,248,152,5,1600.0,3.0,large,fell,valid
7661,249,63,1,438.0,2.0,medium,fell,valid
7706,250,153,58,128800.0,5.0,massive,fell,valid
7707,251,27,2,230.0,2.0,medium,fell,valid
7708,252,154,25,5500.0,3.0,large,fell,valid
7718,253,45,59,3891.0,3.0,large,fell,valid
7722,254,101,5,1250.0,3.0,large,fell,valid
7723,255,43,25,1161.0,3.0,large,fell,valid
7725,256,4,21,642.0,2.0,medium,fell,valid
7728,257,91,5,5000.0,3.0,large,fell,valid
7731,258,33,2,47700.0,4.0,massive,fell,valid
7736,259,2,60,1900.0,3.0,large,fell,valid
7743,260,93,5,30.0,1.0,small,fell,valid
7745,261,53,7,2270.0,3.0,large,fell,valid
7749,262,4,21,,,,fell,valid
7750,263,133,5,13200.0,4.0,massive,fell,valid
7752,264,155,5,577.0,2.0,medium,fell,valid
7754,265,83,5,2117.0,3.0,large,fell,valid
7755,266,154,61,3230.0,3.0,large,fell,valid
7757,267,156,62,300.0,2.0,medium,fell,valid
7758,268,50,33,188.0,2.0,medium,fell,valid
7760,269,157,54,10000.0,3.0,large,fell,valid
7774,270,79,7,2400.0,3.0,large,fell,valid
7775,271,158,7,3000.0,3.0,large,fell,valid
7776,272,33,11,3336.0,3.0,large,fell,valid
7777,273,77,2,840.0,2.0,medium,fell,valid
7807,274,76,5,10000.0,3.0,large,fell,valid
45977,275,30,7,17226.0,4.0,massive,fell,valid
7819,276,64,5,5000.0,3.0,large,fell,valid
7822,277,130,25,680.5,2.0,medium,fell,valid
7823,278,159,63,107000.0,5.0,massive,fell,valid
7824,279,2,1,54640.0,4.0,massive,fell,valid
10019,280,12,39,1470.0,3.0,large,fell,valid
10033,281,25,18,127.0,2.0,medium,fell,valid
10038,282,11,7,8000.0,3.0,large,fell,valid
10039,283,160,25,127000.0,5.0,massive,fell,valid
10041,284,35,7,277.0,2.0,medium,fell,valid
10042,285,89,31,113.0,2.0,medium,fell,valid
10043,286,148,37,107.2,2.0,medium,fell,valid
10044,287,161,1,20000.0,4.0,massive,fell,valid
10049,288,105,2,2250.0,3.0,large,fell,valid
10051,289,162,5,1500.0,3.0,large,fell,valid
10055,290,17,35,500.0,2.0,medium,fell,valid
10059,291,163,64,320000.0,5.0,massive,fell,valid
10074,292,141,1,89400.0,4.0,massive,fell,valid
10075,293,60,11,56000.0,4.0,massive,fell,valid
10078,294,142,7,1500.0,3.0,large,fell,valid
10079,295,60,11,2360.0,3.0,large,fell,valid
10080,296,164,11,380.0,2.0,medium,fell,valid
10081,297,25,65,3200.0,3.0,large,fell,valid
10086,298,84,7,82.0,1.0,small,fell,valid
10088,299,161,32,220.0,2.0,medium,fell,valid
10091,300,165,56,10200.0,4.0,massive,fell,valid
10107,301,103,5,17600.0,4.0,massive,fell,valid
10111,302,62,66,3640.0,3.0,large,fell,valid
10119,303,141,7,152000.0,5.0,massive,fell,valid
10120,304,37,11,26000.0,4.0,massive,fell,valid
10123,305,84,5,6067.0,3.0,large,fell,valid
10163,306,25,2,240.0,2.0,medium,fell,valid
10164,307,146,5,16300.0,4.0,massive,fell,valid
10166,308,166,21,,,,fell,valid
10177,309,145,37,650.0,2.0,medium,fell,valid
52412,310,51,1,23000.0,4.0,massive,fell,valid
10836,311,167,1,11620.0,4.0,massive,fell,valid
10838,312,168,21,,,,fell,valid
10839,313,35,5,4000.0,3.0,large,fell,valid
10840,314,30,21,2500.0,3.0,large,fell,valid
10846,315,169,2,132.7,2.0,medium,fell,valid
10848,316,3,25,36.1,1.0,small,fell,valid
10849,316,3,67,28.0,1.0,small,fell,valid
10850,317,153,11,5000.0,3.0,large,fell,valid
10851,318,147,5,6400.0,3.0,large,fell,valid
10854,319,111,7,,,,fell,valid
10860,320,140,68,380.0,2.0,medium,fell,valid
10861,321,44,9,102.0,2.0,medium,fell,valid
44882,322,39,5,4162.0,3.0,large,fell,valid
10866,323,170,7,,,,fell,valid
10870,324,44,7,725.0,2.0,medium,fell,valid
10914,325,98,5,14290.0,4.0,massive,fell,valid
10917,326,155,5,18000.0,4.0,massive,fell,valid
10919,327,157,5,480.0,2.0,medium,fell,valid
10923,328,114,69,670.0,2.0,medium,fell,valid
10924,329,33,57,1303.0,3.0,large,fell,valid
10926,330,171,11,152000.0,5.0,massive,fell,valid
10930,331,119,5,767.0,2.0,medium,fell,valid
10936,332,163,7,1750.0,3.0,large,fell,valid
10948,333,53,2,1600.0,3.0,large,fell,valid
10949,334,11,70,3618.0,3.0,large,fell,valid
10956,335,112,5,9000.0,3.0,large,fell,valid
11196,336,4,1,45.5,1.0,small,fell,valid
50911,337,46,7,215.0,2.0,medium,fell,valid
11206,338,117,19,3500.0,3.0,large,fell,valid
11207,339,162,7,10500.0,4.0,massive,fell,valid
11208,340,172,5,8000.0,3.0,large,fell,valid
11426,341,134,11,1000.0,2.0,medium,fell,valid
11429,342,71,7,690.0,2.0,medium,fell,valid
11432,343,43,2,22000.0,4.0,massive,fell,valid
11435,344,165,7,2910.0,3.0,large,fell,valid
11436,345,173,5,,,,fell,valid
11437,346,174,5,1900.0,3.0,large,fell,valid
11439,347,66,2,39000.0,4.0,massive,fell,valid
11440,348,175,21,1915.0,3.0,large,fell,valid
11442,349,176,1,288.0,2.0,medium,fell,valid
11443,350,7,15,968.0,2.0,medium,fell,valid
11448,351,177,7,2449.0,3.0,large,fell,valid
11449,352,39,71,100000.0,4.0,massive,fell,valid
11450,353,70,7,5700.0,3.0,large,fell,valid
11464,354,8,5,28.0,1.0,small,fell,valid
11465,355,16,72,34650.0,4.0,massive,fell,valid
11466,356,178,73,1000.0,2.0,medium,fell,valid
11467,357,9,32,1320.0,3.0,large,fell,valid
11468,358,179,74,0.2,1.0,tiny,fell,valid
11472,359,60,75,9000.0,3.0,large,fell,valid
11479,360,166,76,1456.0,3.0,large,fell,valid
11485,361,15,34,3710.0,3.0,large,fell,valid
11824,362,144,18,1000.0,2.0,medium,fell,valid
11829,363,87,31,315.0,2.0,medium,fell,valid
11830,364,79,5,8360.0,3.0,large,fell,valid
11842,365,86,5,680.0,2.0,medium,fell,valid
11848,366,71,11,1110.6,3.0,large,fell,valid
11852,367,141,77,1250.0,3.0,large,fell,valid
11855,368,180,21,29000.0,4.0,massive,fell,valid
11859,369,38,62,1544.0,3.0,large,fell,valid
11869,370,62,7,3500.0,3.0,large,fell,valid
11870,371,71,78,6100.0,3.0,large,fell,valid
11875,372,181,7,1000.0,2.0,medium,fell,valid
11878,373,36,7,20000.0,4.0,massive,fell,valid
11883,374,147,7,750.0,2.0,medium,fell,valid
11884,375,100,5,4500.0,3.0,large,fell,valid
11889,376,107,7,414.0,2.0,medium,fell,valid
44714,377,107,2,167.7,2.0,medium,fell,valid
11893,378,42,26,305.5,2.0,medium,fell,valid
11894,379,182,47,220000.0,5.0,massive,fell,valid
11895,380,47,21,1415.0,3.0,large,fell,valid
11901,381,164,1,230000.0,5.0,massive,fell,valid
11904,382,183,1,2420.0,3.0,large,fell,valid
11913,383,110,5,180.0,2.0,medium,fell,valid
11915,384,184,32,266.1,2.0,medium,fell,valid
11916,385,185,63,49000.0,4.0,massive,fell,valid
54719,386,186,7,1600.0,3.0,large,fell,valid
11986,387,88,2,112.0,2.0,medium,fell,valid
11989,388,136,54,14000.0,4.0,massive,fell,valid
11992,389,118,39,2000.0,3.0,large,fell,valid
11993,390,17,18,2500.0,3.0,large,fell,valid
11994,391,7,32,,,,fell,valid
11995,392,143,2,3973.0,3.0,large,fell,valid
12000,393,110,7,3457.0,3.0,large,fell,valid
12003,394,30,7,1200.0,3.0,large,fell,valid
12004,395,187,2,7330.0,3.0,large,fell,valid
12027,396,175,3,27000.0,4.0,massive,fell,valid
12028,397,140,5,880.0,2.0,medium,fell,valid
12037,398,184,5,3000.0,3.0,large,fell,valid
12039,399,30,1,4576.0,3.0,large,fell,valid
12043,400,176,2,7000.0,3.0,large,fell,valid
12049,401,42,12,1300.0,3.0,large,fell,valid
12053,402,188,7,3050.0,3.0,large,fell,valid
12056,403,163,7,2024.0,3.0,large,fell,valid
12058,404,114,79,4720.0,3.0,large,fell,valid
12063,405,59,16,704.5,2.0,medium,fell,valid
12065,406,151,5,48000.0,4.0,massive,fell,valid
12067,407,189,54,973.0,2.0,medium,fell,valid
12068,148,114,62,700.0,2.0,medium,fell,missing
12069,408,190,80,1967.0,3.0,large,fell,valid
12072,409,120,2,22.0,1.0,small,fell,valid
12074,410,139,5,20500.0,4.0,massive,fell,valid
12078,411,161,25,34000.0,4.0,massive,fell,valid
12079,148,136,5,450.0,2.0,medium,fell,missing
51589,412,46,5,3667.0,3.0,large,fell,valid
12085,413,23,1,5900.0,3.0,large,fell,valid
12086,414,112,7,222.0,2.0,medium,fell,valid
12087,415,141,48,600000.0,5.0,massive,fell,valid
12171,416,4,7,4000000.0,5.0,massive,fell,valid
47362,417,73,1,100.0,1.0,small,fell,valid
12173,418,88,37,30.0,1.0,small,fell,valid
12198,419,84,39,40300.0,4.0,massive,fell,valid
12199,420,11,25,483.0,2.0,medium,fell,valid
12202,421,191,18,5000.0,3.0,large,fell,valid
12203,422,192,7,100000.0,4.0,massive,fell,valid
12207,423,193,2,680.0,2.0,medium,fell,valid
12209,424,39,5,32490.0,4.0,massive,fell,valid
12210,425,4,5,950.0,2.0,medium,fell,valid
12213,426,58,48,25250.0,4.0,massive,fell,valid
12214,427,194,18,91000.0,4.0,massive,fell,valid
12218,428,181,19,3000.0,3.0,large,fell,valid
12220,429,38,11,13400.0,4.0,massive,fell,valid
12221,430,35,2,89.0,1.0,small,fell,valid
12222,431,14,7,230.0,2.0,medium,fell,valid
12227,432,56,5,1900.0,3.0,large,fell,valid
12228,433,174,81,2000.0,3.0,large,fell,valid
12229,434,80,82,200000.0,5.0,massive,fell,valid
12230,435,141,83,350.0,2.0,medium,fell,valid
12231,436,55,5,577.0,2.0,medium,fell,valid
12232,437,2,11,950.0,2.0,medium,fell,valid
12236,438,163,5,4500.0,3.0,large,fell,valid
12238,439,37,5,2770.0,3.0,large,fell,valid
12240,440,67,7,448.0,2.0,medium,fell,valid
12241,441,5,5,1293.0,3.0,large,fell,valid
12243,442,15,5,299.0,2.0,medium,fell,valid
12245,443,56,7,1630.0,3.0,large,fell,valid
12246,444,147,7,400.0,2.0,medium,fell,valid
12251,445,37,37,11355.0,4.0,massive,fell,valid
47357,446,82,84,1600.0,3.0,large,fell,valid
12253,447,80,5,3500.0,3.0,large,fell,valid
12256,448,129,25,3000.0,3.0,large,fell,valid
12258,449,184,25,2220.0,3.0,large,fell,valid
12260,450,7,5,180.0,2.0,medium,fell,valid
12262,451,90,5,22000.0,4.0,massive,fell,valid
12263,452,195,5,2950.0,3.0,large,fell,valid
12264,453,9,85,41730.0,4.0,massive,fell,valid
12266,454,59,12,710.0,2.0,medium,fell,valid
30740,455,107,11,16820.0,4.0,massive,fell,valid
35465,456,93,5,1500.0,3.0,large,fell,valid
47351,457,73,86,6800.0,3.0,large,fell,valid
12268,458,79,48,85000.0,4.0,massive,fell,valid
12270,459,89,26,3300.0,3.0,large,fell,valid
53654,460,29,26,5760.0,3.0,large,fell,valid
12275,461,33,26,6937.0,3.0,large,fell,valid
12276,462,107,50,6669.2,3.0,large,fell,valid
12282,463,123,7,5000.0,3.0,large,fell,valid
12284,464,36,2,80000.0,4.0,massive,fell,valid
12286,465,196,11,135000.0,5.0,massive,fell,valid
12288,466,23,54,13600.0,4.0,massive,fell,valid
12289,467,43,15,3698.0,3.0,large,fell,valid
12291,468,197,5,1500.0,3.0,large,fell,valid
12294,469,24,5,450.0,2.0,medium,fell,valid
12296,470,198,2,100.0,1.0,small,fell,valid
12297,471,61,1,6109.0,3.0,large,fell,valid
12298,472,71,87,9700.0,3.0,large,fell,valid
12299,473,43,27,3200.0,3.0,large,fell,valid
12300,474,173,2,100000.0,4.0,massive,fell,valid
12301,475,101,5,737.6,2.0,medium,fell,valid
12303,476,154,7,1500.0,3.0,large,fell,valid
12305,477,97,21,331.0,2.0,medium,fell,valid
12306,478,199,2,195.0,2.0,medium,fell,valid
12307,479,21,25,19000.0,4.0,massive,fell,valid
12308,480,148,7,772.0,2.0,medium,fell,valid
12309,481,142,2,140.0,2.0,medium,fell,valid
12316,482,149,2,67.4,1.0,small,fell,valid
12321,483,97,18,97.7,1.0,small,fell,valid
12325,484,40,5,1550.0,3.0,large,fell,valid
12326,485,130,5,202.6,2.0,medium,fell,valid
12332,486,94,2,3250.0,3.0,large,fell,valid
12335,487,120,69,500000.0,5.0,massive,fell,valid
12336,488,93,85,136.0,2.0,medium,fell,valid
12342,489,200,5,11510.0,4.0,massive,fell,valid
12343,490,189,80,238.0,2.0,medium,fell,valid
12344,491,201,15,90.0,1.0,small,fell,valid
53810,492,186,7,4300.0,3.0,large,fell,valid
12353,493,36,15,16500.0,4.0,massive,fell,valid
12355,494,146,5,2440.0,3.0,large,fell,valid
12357,495,115,7,4000.0,3.0,large,fell,valid
12363,496,97,32,845.2,2.0,medium,fell,valid
12364,497,115,88,50000.0,4.0,massive,fell,valid
12368,498,59,5,2250.0,3.0,large,fell,valid
12369,499,79,1,453.6,2.0,medium,fell,valid
12370,500,85,5,6000.0,3.0,large,fell,valid
12373,501,97,2,3719.0,3.0,large,fell,valid
12377,502,7,5,200000.0,5.0,massive,fell,valid
12379,503,130,7,1100000.0,5.0,massive,fell,valid
12381,504,10,32,4460.0,3.0,large,fell,valid
12382,505,24,5,5.0,1.0,tiny,fell,valid
12383,506,30,7,23.0,1.0,small,fell,valid
12384,507,40,5,45000.0,4.0,massive,fell,valid
12385,508,43,5,4047.0,3.0,large,fell,valid
12390,509,48,5,45000.0,4.0,massive,fell,valid
12392,510,163,5,2800.0,3.0,large,fell,valid
12394,511,144,32,399.0,2.0,medium,fell,valid
12395,512,84,7,2000.0,3.0,large,fell,valid
12396,513,202,5,45000.0,4.0,massive,fell,valid
12408,514,65,7,3833.0,3.0,large,fell,valid
12433,515,195,62,900.0,2.0,medium,fell,valid
12434,516,41,5,37000.0,4.0,massive,fell,valid
32531,148,107,89,9.6,1.0,tiny,found,missing
12435,517,71,18,212.5,2.0,medium,fell,valid
12451,518,92,5,372.0,2.0,medium,fell,valid
12455,519,156,90,51700.0,4.0,massive,fell,valid
12456,520,147,2,7000.0,3.0,large,fell,valid
12461,521,157,5,2300.0,3.0,large,fell,valid
12464,522,200,5,1282.0,3.0,large,fell,valid
12465,523,12,26,7000.0,3.0,large,fell,valid
12466,524,203,7,14250.0,4.0,massive,fell,valid
12740,525,204,5,1060.0,3.0,large,fell,valid
12743,526,59,5,800.0,2.0,medium,fell,valid
12748,527,205,7,3000.0,3.0,large,fell,valid
12749,528,205,37,780.0,2.0,medium,fell,valid
12755,529,83,5,51500.0,4.0,massive,fell,valid
12756,530,182,5,460.0,2.0,medium,fell,valid
